buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,11.0,1.7586675227522546,100,50.0,56.861241579055786
100.0,2.0,100.0,8.0,62.513566726234565,200,100.0,58.46088671684265
150.0,3.0,100.0,5.0,59.303255631527534,300,150.0,60.147135972976685
200.0,4.0,100.0,7.0,59.42811738030261,400,200.0,61.82984137535095
250.0,5.0,100.0,10.0,68.15976765606545,500,250.0,63.29698324203491
300.0,6.0,100.0,8.0,59.08464043108094,600,300.0,64.98947095870972
350.0,7.0,100.0,0.0,65.45535695475184,700,350.0,66.51723051071167
400.0,8.0,100.0,6.0,63.50424133375283,800,400.0,68.09192895889282
450.0,9.0,100.0,8.0,57.74616822604899,900,450.0,69.82364630699158
500.0,10.0,100.0,6.0,60.16409809164247,1000,500.0,71.48576760292053
550.0,11.0,100.0,0.0,66.08744812377405,1100,550.0,72.99891495704651
600.0,12.0,100.0,9.0,54.91740269725199,1200,600.0,74.81983208656311
650.0,13.0,100.0,10.0,63.61052916059903,1300,650.0,76.39189958572388
700.0,14.0,100.0,9.0,68.21406278816889,1400,700.0,77.85787391662598
750.0,15.0,100.0,10.0,67.62036608760378,1500,750.0,79.3367190361023
800.0,16.0,100.0,13.0,52.701715835453896,1600,800.0,81.23419117927551
850.0,17.0,100.0,12.0,63.415063387788116,1700,850.0,82.81110429763794
900.0,18.0,100.0,0.0,68.86047619626144,1800,900.0,84.26331663131714
950.0,19.0,100.0,9.0,56.65035622036337,1900,950.0,86.02853107452393
1000.0,20.0,100.0,11.0,66.64551240789436,2000,1000.0,87.52900791168213
1050.0,21.0,100.0,0.0,5.000417684635117,2100,1050.0,107.5273380279541
1100.0,22.0,100.0,16.0,30.695102195426248,2200,1100.0,110.7851870059967
1150.0,23.0,100.0,0.0,28.5797902651643,2300,1150.0,114.28416347503662
1200.0,24.0,100.0,0.0,28.85033422760136,2400,1200.0,117.75032830238342
1250.0,25.0,100.0,0.0,28.57368058807103,2500,1250.0,121.25005316734314
1300.0,26.0,100.0,0.0,26.56373469426401,2600,1300.0,125.01458501815796
1350.0,27.0,100.0,0.0,30.705710899525005,2700,1350.0,128.2713086605072
1400.0,28.0,100.0,0.0,30.291965504906415,2800,1400.0,131.57251477241516
