buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5250.0,105.0,100.0,0.0,28.747583123088173,10500,5250.0,479.23840951919556
5300.0,106.0,100.0,0.0,31.82079197682546,10600,5300.0,482.38100957870483
5350.0,107.0,100.0,0.0,28.368772452333737,10700,5350.0,485.9060130119324
5400.0,108.0,100.0,0.0,26.993341803162267,10800,5400.0,489.6106309890747
5450.0,109.0,100.0,0.0,32.12811832340452,10900,5450.0,492.7231698036194
5500.0,110.0,100.0,17.0,29.88121971798134,11000,5500.0,496.06975388526917
5550.0,111.0,100.0,7.0,26.5131619078864,11100,5550.0,499.84146642684937
5600.0,112.0,100.0,15.0,31.57410180863431,11200,5600.0,503.00861954689026
5650.0,113.0,100.0,0.0,27.861996526736377,11300,5650.0,506.5977382659912
5700.0,114.0,100.0,0.0,29.943258282862182,11400,5700.0,509.93738889694214
5750.0,115.0,100.0,0.0,26.694962718865007,11500,5750.0,513.6834139823914
5800.0,116.0,100.0,0.0,27.767103451576826,11600,5800.0,517.2847983837128
5850.0,117.0,100.0,0.0,29.861602855228714,11700,5850.0,520.6335813999176
5900.0,118.0,100.0,0.0,27.97559296421478,11800,5900.0,524.2081263065338
5950.0,119.0,100.0,0.0,29.66046812056071,11900,5950.0,527.5796177387238
6000.0,120.0,100.0,0.0,29.375591899087517,12000,6000.0,530.9838049411774
6050.0,121.0,100.0,0.0,4.798717432639311,12100,6050.0,551.8227069377899
6100.0,122.0,100.0,0.0,28.701920069919762,12200,6100.0,555.3067946434021
6150.0,123.0,100.0,0.0,29.322783675622073,12300,6150.0,558.7171130180359
6200.0,124.0,100.0,0.0,28.99692097694981,12400,6200.0,562.1657555103302
6250.0,125.0,100.0,0.0,29.41579238640657,12500,6250.0,565.565290927887
6300.0,126.0,100.0,9.0,28.898147476387262,12600,6300.0,569.025720834732
6350.0,127.0,100.0,0.0,27.089717884977283,12700,6350.0,572.7171587944031
6400.0,128.0,100.0,0.0,29.01176918155251,12800,6400.0,576.1640365123749
6450.0,129.0,100.0,10.0,32.740577208730095,12900,6450.0,579.2183513641357
6500.0,130.0,100.0,21.0,27.57667571555268,13000,6500.0,582.8446047306061
6550.0,131.0,100.0,13.0,28.628304652158207,13100,6550.0,586.3376517295837
6600.0,132.0,100.0,0.0,32.24804809270157,13200,6600.0,589.438615322113
6650.0,133.0,100.0,15.0,28.683267426095846,13300,6650.0,592.924968957901
6700.0,134.0,100.0,0.0,29.39490893810283,13400,6700.0,596.3269193172455
6750.0,135.0,100.0,0.0,30.72563353290606,13500,6750.0,599.581531047821
6800.0,136.0,100.0,0.0,27.39080064939051,13600,6800.0,603.2323925495148
6850.0,137.0,100.0,0.0,26.83590101789244,13700,6850.0,606.9587445259094
6900.0,138.0,100.0,0.0,27.991729624028377,13800,6900.0,610.531229019165
6950.0,139.0,100.0,20.0,29.93041433278924,13900,6950.0,613.8723125457764
7000.0,140.0,100.0,0.0,28.10151697663529,14000,7000.0,617.4308397769928
7050.0,141.0,100.0,0.0,5.035153242437278,14100,7050.0,637.2912089824677
7100.0,142.0,100.0,15.0,26.87022838166848,14200,7100.0,641.0128004550934
7150.0,143.0,100.0,0.0,28.69348284423065,14300,7150.0,644.4979128837585
7200.0,144.0,100.0,0.0,31.219196166197346,14400,7200.0,647.7010707855225
7250.0,145.0,100.0,0.0,27.851765241643697,14500,7250.0,651.2915079593658
7300.0,146.0,100.0,23.0,29.29776857851369,14600,7300.0,654.7047381401062
7350.0,147.0,100.0,0.0,30.320704598053876,14700,7350.0,658.0028150081635
7400.0,148.0,100.0,0.0,28.09020602210634,14800,7400.0,661.5627753734589
7450.0,149.0,100.0,11.0,29.584339126783547,14900,7450.0,664.9429426193237
7500.0,150.0,100.0,12.0,30.850009138855064,15000,7500.0,668.1844334602356
7550.0,151.0,100.0,15.0,27.902564441670503,15100,7550.0,671.7683343887329
7600.0,152.0,100.0,0.0,32.016382894903266,15200,7600.0,674.89173579216
7650.0,153.0,100.0,0.0,28.644659455801843,15300,7650.0,678.3827884197235
7700.0,154.0,100.0,16.0,28.041531887309024,15400,7700.0,681.9489283561707
7750.0,155.0,100.0,16.0,30.49256610369527,15500,7750.0,685.2284169197083
7800.0,156.0,100.0,0.0,29.10036908443789,15600,7800.0,688.6647999286652
7850.0,157.0,100.0,0.0,26.82105196384421,15700,7850.0,692.3932149410248
7900.0,158.0,100.0,0.0,29.337415559622052,15800,7900.0,695.8018319606781
