buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,11.0,1.395084917926058,100,50.0,71.6802270412445
100.0,2.0,100.0,8.0,6.985650591657875,200,100.0,85.9952871799469
150.0,3.0,100.0,5.0,7.033358811899929,300,150.0,100.21324610710144
200.0,4.0,100.0,7.0,7.018750352041628,400,200.0,114.46079730987549
250.0,5.0,100.0,10.0,6.957876891232926,500,250.0,128.83299851417542
300.0,6.0,100.0,8.0,7.1156684280486715,600,300.0,142.88649249076843
350.0,7.0,100.0,0.0,6.611736169672913,700,350.0,158.01111340522766
400.0,8.0,100.0,6.0,6.901580151493678,800,400.0,172.50054931640625
450.0,9.0,100.0,8.0,6.924179832646746,900,450.0,186.94269371032715
500.0,10.0,100.0,6.0,7.0524340904145975,1000,500.0,201.12219548225403
550.0,11.0,100.0,0.0,6.756314561901832,1100,550.0,215.92316460609436
600.0,12.0,100.0,9.0,6.853352241593712,1200,600.0,230.51456475257874
650.0,13.0,100.0,10.0,6.946461124838054,1300,650.0,244.91038465499878
700.0,14.0,100.0,9.0,7.002261596617629,1400,700.0,259.191486120224
750.0,15.0,100.0,10.0,6.5590579561017215,1500,750.0,274.4375784397125
800.0,16.0,100.0,13.0,6.932668109892643,1600,800.0,288.8620398044586
850.0,17.0,100.0,12.0,6.777628691885623,1700,850.0,303.6164629459381
900.0,18.0,100.0,0.0,6.976512712367353,1800,900.0,317.95027208328247
950.0,19.0,100.0,9.0,6.597125255433296,1900,950.0,333.1083903312683
1000.0,20.0,100.0,11.0,7.08110527805463,2000,1000.0,347.2304799556732
1050.0,21.0,100.0,0.0,2.842995221768938,2100,1050.0,382.4046516418457
1100.0,22.0,100.0,0.0,5.7132300945480585,2200,1100.0,399.9078857898712
1150.0,23.0,100.0,0.0,5.82945734020724,2300,1150.0,417.0621416568756
1200.0,24.0,100.0,0.0,5.846082276989102,2400,1200.0,434.1676149368286
1250.0,25.0,100.0,0.0,6.021188539824196,2500,1250.0,450.77563214302063
1300.0,26.0,100.0,0.0,5.659505028633347,2600,1300.0,468.4450228214264
1350.0,27.0,100.0,0.0,5.805005212638648,2700,1350.0,485.67153692245483
1400.0,28.0,100.0,0.0,5.932069713031822,2800,1400.0,502.52906036376953
1450.0,29.0,100.0,6.0,5.5241734679165395,2900,1450.0,520.6313169002533
1500.0,30.0,100.0,0.0,5.673751497199096,3000,1500.0,538.2563400268555
1550.0,31.0,100.0,0.0,5.622782528398657,3100,1550.0,556.0411298274994
1600.0,32.0,100.0,0.0,5.682161052365082,3200,1600.0,573.6400680541992
1650.0,33.0,100.0,0.0,5.5659417294242814,3300,1650.0,591.6064801216125
1700.0,34.0,100.0,10.0,5.595031865092082,3400,1700.0,609.4794800281525
1750.0,35.0,100.0,0.0,5.378336911023109,3500,1750.0,628.0725891590118
1800.0,36.0,100.0,0.0,5.540592592516269,3600,1800.0,646.121200799942
1850.0,37.0,100.0,0.0,5.601346127337174,3700,1850.0,663.9740526676178
1900.0,38.0,100.0,9.0,5.597524306628574,3800,1900.0,681.8390941619873
1950.0,39.0,100.0,0.0,5.539986351804978,3900,1950.0,699.8896808624268
2000.0,40.0,100.0,0.0,5.689813499017086,4000,2000.0,717.4649493694305
